id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
31601,31681,47105,2421,,Gemini,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.735344593,0.286220944,-9.8902E-09,-3.24437E-07,Gam,24,Gem,1,31601,,165.3484012,,,
11734,11767,8890,424,,Ursa Minor,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.662287075,1.557952613,2.14385E-07,-5.69171E-08,Alp,1,UMi,1,11734,,2495.743795,Alp,1.993,1.953
50440,50583,89484,4057,,Leo,Algieba,10.332873,19.841489,39.8883,310.77,-152.88,-37,2.01,-0.994,K0III,1.128,-34.002797,15.860719,13.53874,-0.00000224,-0.00006526,-0.00004065,2.705139837,0.346299306,1.50666E-06,-7.41183E-07,Gam-1,41,Leo,1,50440,,217.5704951,,,
9861,9884,12929,617,Gl 84.3,Aries,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898131,0.409496533,9.24685E-07,-7.06713E-07,Alp,13,Ari,1,9861,,55.66727982,,,
5436,5447,6860,337,Gl 53.3,Andromeda,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.304261793,0.621696012,8.51284E-07,-5.44106E-07,Bet,43,And,1,5436,,474.2419853,,,
72380,72607,131873,5563,,Ursa Minor,Kochab,14.845105,74.155505,40.1445,-32.29,11.91,17,2.07,-0.948,K4IIIvar,1.465,-8.058164,-7.429707,38.619407,-0.00000611,0.00000291,0.00001736,3.88643929,1.294257717,-1.56546E-07,5.77413E-08,Bet,7,UMi,1,72380,,208.5451048,,,
676,677,358,15,,Andromeda,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-0.00000002,0.00001958,-0.0000265,0.036597163,0.507723818,6.57795E-07,-7.90004E-07,Alp,21,And,1,676,,114.4985535,Alp,2.083,2.063
85769,86032,159561,6556,Gl 681,Ophiuchus,Rasalhague,17.582241,12.560035,14.8965,110.08,-222.61,12.6,2.08,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.603020023,0.219213961,5.33683E-07,-1.07924E-06,Alp,55,Oph,1,85769,,28.44461107,,,
14540,14576,19356,936,,Perseus,Algol,3.136148,40.955648,27.571,2.39,-1.44,4,2.09,-0.112,B8V,-0.003,14.189428,15.238793,18.072114,0.00000196,0.00000257,0.00000254,0.821041501,0.714810898,1.1587E-08,-6.98132E-09,Bet,26,Per,1,14540,,96.56060985,Bet,2.213,2.073
9618,9640,12533,603,,Andromeda,Almaak,2.064984,42.329725,120.4819,43.08,-50.85,-12,2.1,-3.305,B8V,1.37,76.368059,45.840864,81.131974,-0.00000358,0.0000272,-0.00003022,0.540611677,0.738793067,2.08858E-07,-2.46528E-07,Gam-1,57,And,1,9618,,1828.100216,,,
57459,57632,102647,4534,Gl 448,Leo,Denebola,11.817663,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856966,0.25433043,-2.41932E-06,-5.51621E-07,Bet,94,Leo,1,57459,,14.68249968,,,
4417,4427,5394,264,,Cassiopeia,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-0.00000589,0.0000201,-0.00000777,0.247437951,1.059707029,1.24355E-07,-1.85199E-08,Gam,27,Cas,1,4417,,3407.218617,Gam,2.173,2.133
76035,76267,139006,5793,,Corona Borealis,Alphekka,15.578128,26.714693,23.0097,120.38,-89.44,2,2.22,0.41,A0V,0.032,-12.176093,-16.558746,10.343974,0.00000708,-0.00001304,-0.00000799,4.078344289,0.466259351,5.83619E-07,-4.33617E-07,Alp,5,CrB,1,76035,,59.70352866,Alp,2.289,2.209
100128,100453,194093,7796,,Cygnus,Sadr,20.370473,40.256679,561.7978,2.43,-0.93,-8,2.23,-6.518,F8Ib,0.673,249.318228,-348.795593,363.040966,0.0000027,0.0000076,-0.00000722,5.332977255,0.702611598,1.1781E-08,-4.50877E-09,Gam,37,Cyg,1,100128,,35253.31812,,,
65173,65378,116656,5054,NN 3783A,Ursa Major,Mizar,13.398747,54.925362,26.3089,121.23,-22.01,-5.6,2.23,0.129,A2V,0.057,-14.115808,-5.413302,21.531272,0.00000646,-0.00001408,-0.0000063,3.507783855,0.958628404,5.8774E-07,-1.06707E-07,Zet,79,UMa,1,65173,NN 3783,77.3392578,,2.336,2.196
3172,3179,3712,168,,Cassiopeia,Shedir,0.675116,56.537331,69.979,50.36,-32.17,-4,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,0.00000374,0.00001802,-0.00000943,0.176744881,0.986762576,2.44152E-07,-1.55965E-07,Alp,18,Cas,1,3172,,542.0008904,Alp,2.25,2.23
87561,87833,164058,6705,,Draco,Etamin,17.943437,51.488895,47.3037,-8.52,-23.05,-28,2.24,-1.134,K5III,1.521,-0.436154,-29.451035,37.014357,-0.00000175,0.00001372,-0.0000257,4.697580792,0.898650744,-4.13061E-08,-1.1175E-07,Gam,33,Dra,1,87561,,247.5141318,,,
744,746,432,21,Gl 8,Cassiopeia,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,0.00001681,0.00004329,0.00000239,0.040025853,1.032358404,2.53747E-06,-8.74701E-07,Bet,11,Cas,1,744,,30.06076303,Bet,2.303,2.263
53754,53910,95418,4295,Wo 9343,Ursa Major,Merak,11.030677,56.382427,24.4499,81.66,33.74,-12,2.34,0.399,A1V,0.033,-13.103033,3.398358,20.360601,0.00000737,-0.00001191,-0.00000801,2.887824569,0.984058986,3.95899E-07,1.63576E-07,Bet,48,UMa,1,53754,,60.31148196,,,
71879,72105,129988,5505,,Bootes,Izar,14.749784,27.074222,62.1118,-50.65,20,-23,2.35,-1.616,A0,0.966,-41.582771,-36.462926,28.269741,0.00000775,0.00002708,-0.00000534,3.861484338,0.472534323,-2.45558E-07,9.69627E-08,Eps,36,Boo,1,71879,,385.8335599,,,
106972,107315,206778,8308,,Pegasus,Enif,21.736433,9.875011,211.4165,30.02,1.38,5,2.38,-4.246,K2Ibvar,1.52,172.769915,-116.330918,36.25782,0.00002116,0.00002284,0.00000227,5.690584775,0.17235146,1.45541E-07,6.69043E-09,Eps,8,Peg,1,106972,,4349.106072,Eps,2.404,2.364
57828,58001,103287,4554,,Ursa Major,Phad,11.897168,53.69476,25.5037,107.76,11.16,-13,2.41,0.377,A0V SB,0.044,-15.094867,0.406425,20.552678,0.00000862,-0.00001356,-0.0000099,3.114671245,0.937150353,5.22435E-07,5.41052E-08,Gam,64,UMa,1,57828,,61.54602374,,,
